,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,runtime_in_minutes,main_genre,supporting_genre
1466,1886,"""Houston, we have a problem."" Those words were immortalized during the tense days of the Apollo 13 lunar mission crisis in 1970, events recreated in this epic historical drama from Ron Howard. Astronaut Jim Lovell (Tom Hanks) leads command module pilot Jack Swigert (Kevin Bacon) and lunar module driver Fred Haise (Bill Paxton) on what is slated as NASA's third lunar landing mission. All goes smoothly until the craft is halfway through its mission, when an exploding oxygen tank threatens the crew's oxygen and power supplies. As the courageous astronauts face the dilemma of either suffocating or freezing to death, Mattingly and Mission Control leader Gene Kranz (Ed Harris) struggle to find a way to bring the crew back home, all the while knowing that the spacemen face probable death once the battered ship reenters the Earth's atmosphere. The film received an overwhelmingly enthusiastic critical response and a Best Picture nomination, but lost that Oscar to another (very different) historical epic, Mel Gibson's Braveheart. In 2002, the movie was released in IMAX theaters as Apollo 13: The IMAX Experience, with a pared-down running time of 116 minutes in order to meet the technical requirements of the large-screen format.",PG,Action and Adventure|Drama,Ron Howard,Al Reinert|William Broyles,1995-06-30,2004-09-07,140,Action and Adventure,Drama
1469,1890,"A misplaced sausage and his savory friends embark on an existential adventure through the aisles of a massive supermarket in this raunchy animated comedy from Seth Rogen and Evan Goldberg. As the store's annual 4th of July sale draws near, the perishable pals must return to their rightful places on the shelves before the customers come flooding in to fill their carts. Conrad Vernon (Monsters vs. Aliens) takes the helm for this Sony Pictures/AnnaPurna Pictures co-production penned by Rogen, Goldberg, Kyle Hunter, and Ariel Shaffirwhich.",R,Animation|Comedy,Conrad Vernon|Greg Tiernan,Kyle Hunter|Ariel Shaffir|Seth Rogen|Evan Goldberg,2016-08-12,2016-11-08,89,Animation,Comedy
1471,1892,"Based on Peter Benchley's best-selling novel, Steven Spielberg's 1975 shark saga set the standard for the New Hollywood popcorn blockbuster while frightening millions of moviegoers out of the water. One early summer night on fictional Atlantic resort Amity Island, Chrissie decides to take a moonlight skinny dip while her friends party on the beach. Yanked suddenly below the ocean surface, she never returns. When pieces of her wash ashore, Police Chief Brody (Roy Scheider) suspects the worst, but Mayor Vaughn (Murray Hamilton), mindful of the lucrative tourist trade and the approaching July 4th holiday, refuses to put the island on a business-killing shark alert. After the shark dines on a few more victims, the Mayor orders the local fishermen to catch the culprit. Satisfied with the shark they find, the greedy Mayor reopens the beaches, despite the warning from visiting ichthyologist Hooper (Richard Dreyfuss) that the attacks were probably caused by a far more formidable Great White. One more fatality later, Brody and Hooper join forces with flinty old salt Quint (Robert Shaw), the only local fisherman willing to take on a Great White--especially since the price is right. The three ride off on Quint's boat ""The Orca,"" soon coming face to teeth with the enemy.",PG,Action and Adventure|Drama|Mystery and Suspense,Steven Spielberg,Howard Sackler|Carl Gottlieb|Peter Benchley,1975-06-01,2000-07-11,124,Action and Adventure,Drama|Mystery and Suspense
1472,1894,"In this filmization of John Fowles' original novel, we watch as Sara, a 19th-century Englishwoman ruined by an affair with a French lieutenant, enters into another disastrous relationship. Viewers are made aware that what they're seeing is a film. This is done by surrounding the story with a modern narrative.",R,Art House and International|Drama|Romance,Karel Reisz,Harold Pinter,1981-08-01,2001-09-04,127,Art House and International,Drama|Romance
1473,1896,"In the epic conclusion of the saga, the Empire prepares to crush the Rebellion with a more powerful Death Star while the Rebel fleet mounts a massive attack on the space station. Luke Skywalker confronts his father Darth Vader in a final climactic duel before the evil Emperor. In the last second, Vader makes a momentous choice: he destroys the Emperor and saves his son. The Empire is finally defeated, the Sith are destroyed, and Anakin Skywalker is thus redeemed. At long last, freedom is restored to the galaxy.",PG,Action and Adventure|Drama|Science Fiction and Fantasy,Richard Marquand,George Lucas|Lawrence Kasdan,1983-05-25,2006-09-12,133,Action and Adventure,Drama|Science Fiction and Fantasy
1475,1898,"One of the most expensive films ever produced in China, the historical action epic Dragon Blade takes place during the Han Dynasty. The story centers on the commander of the Protection Squad of the Western Regions (Jackie Chan), who joins forces with Roman general Lucius (John Cusack) to protect China's sovereignty as power-crazed Tiberius (Adrien Brody) seeks to defeat Lucius once and for all.",R,Action and Adventure|Art House and International|Drama,Daniel Lee,Daniel Lee,2015-09-04,2015-12-22,103,Action and Adventure,Art House and International|Drama
1476,1899,"Thanks to the carelessness of a cute little dog, newlyweds Geena Davis and Alec Baldwin are killed in a freak auto accident. Upon arriving in the outer offices of Heaven, the couple finds that, thanks to a century's worth of bureaucratic red tape, they're on a long celestial waiting list. Before they can earn their wings, Davis and Baldwin must occupy their old house as ghosts for the next fifty years. Alas, the house is now owned by insufferable yuppies Catherine O'Hara and Jeffrey Jones. Horrified at the prospect of sharing space with these obnoxious interlopers, Davis and Baldwin do their best to scare O'Hara and Jones away, but their house-haunting skills are pathetic at best. In desperation, the ghostly couple engage the services of a veteran scaremeister: a yellow-haired, snaggle-toothed, profane, flatulent ""gonzo"" spirit named Beetlejuice (Michael Keaton). The problem: Beetlejuice cannot be trusted-especially when he falls in love with O'Hara and Jones' gloomy, black-clad teenaged daughter Winona Ryder. Beetlejuice producer David Geffen, director Tim Burton, and composer Danny Elfman were also involved in an animated TV-series spin-off.",PG,Comedy|Horror|Science Fiction and Fantasy,Tim Burton,Warren Skaaren|Michael McDowell|Larry Wilson|Michael Bender,1988-03-30,1997-06-26,93,Comedy,Horror|Science Fiction and Fantasy
1478,1901,"When charismatic terrorist Adam Qasim escapes from MI5 custody during a routine handover, the legendary Harry Pearce, Head of Counter-terrorism, is blamed. Disgraced and forced to resign, no-one is surprised when Harry disappears one night off a bridge into the Thames...With MI5 on its knees in the wake of the Qasim debacle and facing controversial reform, former agent Will Crombie is brought back to uncover the truth they feared - Harry's still alive. He's gone rogue, and needs Will's help. As Qasim prepares his devastating attack on the heart of MI5 in London, Will must decide whether to turn Harry in - or risk everything by trusting the damaged, dangerous master spy who has already betrayed him once before...",R,Action and Adventure|Art House and International|Drama|Mystery and Suspense,Bharat Nalluri,Samuel Vincent|Jonathan Brackley|Sam Vincent,2015-12-04,2016-02-09,104,Action and Adventure,Art House and International|Drama|Mystery and Suspense
1480,1903,"Steampunk aesthetics inform this story of a dystopic future in which humankind wages an explosive last stand against the demonic NecroMutants, who would see the entire human race brutally annihilated. Thomas Jane, Ron Perlman, Devon Aoki, and John Malkovich star in this effects-heavy sci-fi action thriller from director Simon Hunter (Dead of Night).",R,Action and Adventure|Science Fiction and Fantasy,Simon Hunter,Philip Eisner,2008-08-07,2009-08-04,111,Action and Adventure,Science Fiction and Fantasy
1481,1905,"Jasmin Dizdar's debut feature takes place in London on October 13, 1993. England is to play against Holland in a critical World Cup qualifier. The Bosnian war is at its height, Sebrenica is besieged, and the UN is preparing relief airdrops. Serbian Dado Jehan and Croatian Faruk Pruti meet on a London bus. Recognizing each other as fellow refugees from the same village in Bosnia, they try to beat each other up. The subsequent crazy chase through the streets of central London sets the scene for a highly charged dark comedy. Beautiful People draws a portrait of the multicultural life of London where lives of British families are inadvertently linked with the lives of the refugees.",R,Art House and International|Comedy|Drama,Jasmin Dizdar|Jasmine Bizdar,Jasmin Dizdar,2000-02-18,2000-06-27,109,Art House and International,Comedy|Drama
1482,1907,"The first feature-length motion picture to use computer-generated imagery to create not only effects, props, and environments but also the human cast members themselves, this lavish science-fiction adventure follows closely on the heels of another video game-based film, Tomb Raider (2001). Ming-Na provides the voice of Dr. Aki Ross, a female scientist in the year 2065, a time when Earth has been overrun by extraterrestrial phantoms borne of a crashed meteor. Humans have been pushed back to cities protected by barriers that keep the marauding space monsters away, but time is running out. Fatally infected by one of the ghostly beasts, Ross seeks information about their purpose and physiology, assisted by her mentor Dr. Sid (voice of Donald Sutherland) and the Deep Eyes military squad of courageous Captain Gray Edwards (voice of Alec Baldwin). Tension develops between Aki's quest to stop the alien onslaught through study and the more extreme solution favored by the vengeful, saber-rattling General Hein (voice of James Woods), who would destroy both the aliens and the Earth itself. Aki ultimately comes to realize that the key to unlocking the mystery of the invaders lies within her own dreams.",PG-13,Animation|Science Fiction and Fantasy,Hironobu Sakaguchi|Motonori Sakakibara|Jack Fletcher,Hironobu Sakaguchi|Al Reinert|Jeff Vintar,2001-07-11,2001-10-23,106,Animation,Science Fiction and Fantasy
1485,1911,"This breathlessly paced high-tech thriller stars Sean Connery as Anderson, a career criminal who's just been released from his latest prison term. Seeking a quick financial turnover, Anderson uses mob funding to finance an ambitious robbery. With a gang of expert thieves, Anderson sets about to rob every wealthy tenant of a fancy East Side apartment building. What he doesn't know is that every move he makes is being monitored and taped by several law-enforcement agencies, who hope that Anderson will lead them to the Mob kingpins. Though the film may look like a ""comment"" on the Watergate break-in, The Anderson Tapes actually preceded that third-rate burglary by nearly two years. The Anderson Tapes boasts an impressive supporting cast, many of whom play wildly against type, including Alan King as an aging and infirm Mafia don.",PG,Classics|Drama|Mystery and Suspense,Sidney Lumet,Lawrence Sanders|Frank Pierson,1971-06-17,2003-01-06,95,Classics,Drama|Mystery and Suspense
1486,1912,"In the sequel to the hit comedy Sister Act, Whoopie Goldberg reprises her role of Deloris Van Cartier, a Las Vegas entertainer who hid out with in a convent of nuns to avoid a nasty bunch of gangsters. In Sister Act 2: Back in the Habit, Deloris is persuaded to return to the convent by the Mother Superior (Maggie Smith), because her help is needed in teaching their choral students at St. Francis High in San Francisco. However, St. Francis is in a crisis, since the administrator running the school (James Coburn) is threatening to shut the place down. If the gospel choir wins first place in a singing contest in Los Angeles, St. Francis will be saved from the priest's plans. Though the plot is rather thin and derivative, Sister Act 2 is lighthearted fun, thanks to good musical numbers and winning performances from the cast.",PG,Comedy,Bill Duke,James Orr|Jim Cruickshank|Judi Ann Mason|James Cruikshank,1993-12-10,2001-02-20,106,Comedy,
1490,1918,"A collection of 15 chapters from Tarzan and the Jewels of Opar is featured here. Originally filmed as silent pieces, they later gained musical score.",NR,Action and Adventure|Classics|Documentary,Henry MacRae|Harry McRae,William Lord Wright|Ian McCloskey Heath,1929-10-01,2006-10-24,290,Action and Adventure,Classics|Documentary
1492,1922,"Fate brings a childless couple a bundle of joy -- who happens to have a criminal record -- in this comedy directed by Keenen Ivory Wayans. Calvin Simms (Marlon Wayans) is a master criminal who with the help of his friend and sidekick, Percy (Tracy Morgan), plans a daring robbery of a museum where one of the world's largest diamonds is on display. One of reasons Calvin is able to get inside secure areas is his size -- Calvin is dwarf who stands less than two feet tall, and can slip in unnoticed where more conventionally sized people would not. While Calvin is able to get the diamond, he's nearly caught by the police while making his getaway, and stashes the jewel in a bag carried by a passerby. Eager to recover the diamond from the unwitting accomplice, Calvin and Percy figure out a way to get into his house -- they dress Calvin up as a baby, and leave him on the doorstep of the passerby's home. As it happens, the couple who live there (Shawn Wayans and Kerry Washington) have been wanting to have a baby, and they eagerly take the new arrival under their wing, embracing the joys of parenthood while ignoring some of the toddler's unusual behavior.",PG-13,Comedy,Keenen Ivory Wayans,Keenen Ivory Wayans|Shawn Wayans|Marlon Wayans,2006-07-14,2006-11-07,90,Comedy,
1495,1926,"A modern-day Joan of Arc takes to the road in this unusual teen story. Helen Slater stars as Billy Jean Davy, the pretty older sister of the mischievous Binx (Christian Slater). When Binx's beloved motor-scooter gets trashed by the spoiled son of a local shop owner, Billy Jean demands payment for the damage. Smarmy shop owner Pyatt (Richard Bradford) agrees, only to lure Billy Jean to an upstairs room where he attempts to rape her. Injuring Pyatt, the brother- and sister-duo go on the run with some trailer-park friends, cutting across Texas while making a name for themselves as local heroes. Implausible at every turn, the film is memorable though for Helen Slater's spunky performance.",PG-13,Action and Adventure|Drama,Matthew Robbins,Mark Rosenthal|Lawrence Konner|Walter Bernstein,1985-07-19,2014-07-22,92,Action and Adventure,Drama
1496,1927,Michael Douglas stars with red-hot Sharon Stone in this groundbreaking and controversial film that redefined the genre of the sexy thriller.,R,Drama|Horror|Mystery and Suspense|Romance,Paul Verhoeven,Joe Eszterhas,1992-03-20,1997-08-26,127,Drama,Horror|Mystery and Suspense|Romance
1497,1929,"For this film adaptation of Peter Shaffer's Broadway hit, director Milos Forman returned to the city of Prague that he'd left behind during the Czech political crises of 1968, bringing along his usual cinematographer and fellow Czech expatriate, Miroslav Ondr",R,Drama|Musical and Performing Arts,Milos Forman,Peter Shaffer,1984-09-06,1997-12-16,158,Drama,Musical and Performing Arts
1498,1930,"Sharp-tongued East End spy Harry Palmer once again finds himself in the middle of a dangerous situation, this time in East Berlin, where he has been sent to track down suspicious Soviet defector Col. Stok.",PG,Action and Adventure|Art House and International|Classics|Drama|Mystery and Suspense,Guy Hamilton,Evan Jones,1966-01-01,2001-08-14,102,Action and Adventure,Art House and International|Classics|Drama|Mystery and Suspense
1501,1933,"Peter Greenaway wrote and directed this typically surreal and iconoclastic black comedy. Three generations of women who share the same name -- 63-year-old Cissie Colpitts (Joan Plowright), her daughter Cissie Colpitts II (Juliet Stevenson), and granddaughter Cissie Colpitts III (Joely Richardson) -- have all discovered the same way of dealing with their marital problems. The senior Cissie has drowned her husband Jake (Bryan Pringle) in the bathtub, her daughter sent her spouse Hardy (Trevor Cooper) to a watery grave in the ocean, and the youngest Cissie sent her husband Bellamy (David Morrissey) down in a swimming pool. Needless to say, local coroner Henry Madgett (Barnard Hill) has some questions about this sudden rash of drownings among the Colpitts husbands, and again all three women respond in the same way: they promise to sleep with Henry in exchange for recording the deaths as accidental (though none of the Cissies make good on this promise). When the local gossip mill begins working overtime about this sudden rash of water-related deaths, Henry's teenage son Smut (Jason Edwards) comes to the aid of the Cissies and organizes a tug-of-war, with he and the Colpitts women on one side and the doubting townspeople on the other (and, of course, a river in the middle). Along the way, Greenaway often stops to contemplate his obsessions with literature, astronomy, and numbers. Drowning by Numbers was released in Europe in 1988, but didn't find its way to American screens until 1991, following the success of Greenaway's The Cook, the Thief, His Wife and Her Lover.",R,Art House and International|Comedy|Drama,Peter Greenaway,Peter Greenaway,1988-09-10,1992-02-26,121,Art House and International,Comedy|Drama
1502,1935,"Director Alex Proyas (Dark City, The Crow) helmed this sci-fi thriller inspired by the stories in Isaac Asimov's nine-story anthology of the same name. In the future presented in the film, humans have become exceedingly dependent on robots in their everyday lives. Robots have become more and more advanced, but each one is preprogrammed to always obey humans and to, under no circumstances, ever harm a human. So, when a scientist turns up dead and a humanoid robot is the main suspect, the world is left to wonder if they are as safe around their electronic servants as previously thought. Will Smith stars as Del Spooner, the robot-hating Chicago cop assigned to the murder investigation. Bridget Moynahan, Bruce Greenwood, James Cromwell, and Chi McBride also star.",PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Alex Proyas,Akiva Goldsman|Jeff Vintar,2004-07-16,2004-12-14,115,Action and Adventure,Mystery and Suspense|Science Fiction and Fantasy
1504,1938,"The only Rodgers and Hammerstein cinemadaptation to be produced by Universal Pictures, Flower Drum Song was, alas, also the only Rogers and Hammerstein film to lose money at the box office. It looks far better now than it did back in 1961, if only because of the paucity of musical films in the 1990s. Essentially a comedy about the culture clash between old-world Chinese and assimilated Chinese-Americans, the film begins when Mei Li (Miyoshi Umeki) and her grandfather (Kam Tong) smuggle themselves into San Francisco. It seems that Mei Li has arrived to honor an arranged marriage between herself and Runyonesque nightclub owner Sammy Fong (the incomparable Jack Soo). This might prove delicate, since Sammy is in love with flashy cabaret entertainer Linda Low (Nancy Kwan). Meanwhile, Linda is romancing Wang Ta (James Shigeta), the son of a wealthy Chinatown merchant (Benson Fong). Soon, however, Mei Li and Wang Ta have fallen in love.......It's a complex plot, to be sure, but comedy and music manage to predominate. The songs include ""I Enjoy Being a Girl"" (a tour de force for the special effects department, and for Nancy Kwan), ""A Hundred Million Miracles,"" ""The Other Generation,"" ""Love Look Away,"" ""I Am Going to Like It Here,"" ""Don't Marry Me,"" ""You Are Beautiful,"" ""Grant Avenue"" and ""Chop Suey."" Flower Drum Song is attractively produced and consummately acted; while no classic along the lines of King and I or Sound of Music, it deserves a second look.",NR,Classics|Comedy|Musical and Performing Arts|Romance,Henry Koster,Joseph Fields,1961-01-01,2006-11-07,133,Classics,Comedy|Musical and Performing Arts|Romance
1506,1940,"The debut project from co-star Michael Douglas' production company Further Films, this comic crime caper uses the narrative devices of multiple points of view and flashbacks,",R,Comedy,Harald Zwart,"Stan Seidel|Stanford Clarke ""Stan"" Seidel",2001-04-27,2001-10-09,93,Comedy,
1507,1941,"Household Saints is a leisurely-paced portrait of three different generations of working-class, New York-based, Italian women. Carmela Santangelo (Judith Malina) is an elderly immigrant whose son (Vincent D'Onofrio) wins a wife, Catherine Falconetti (Tracey Ullman), during a pinochle game. The pair have a daughter, Teresa (Lili Taylor), who becomes obsessed with religion, eventually believing that she will become the bride of Christ.",R,Comedy|Drama|Faith and Spirituality,Nancy Savoca,Nancy Savoca|Richard Guay,1993-01-01,1994-07-06,124,Comedy,Drama|Faith and Spirituality
1508,1942,"Set in the rustic surroundings of a village in Haryana in India, ""Matru ki Bijlee ka Mandola"" is a comedy-drama about Harry Mandola (PANKAJ KAPUR), a wealthy industrialist who loves his drink, his daughter Bijlee (ANUSHKA SHARMA) and the unusual bond they both share with Harry's man friday, Matru (IMRAN KHAN). Much to her father's delight, Bijlee is all set to marry Baadal (ARYA BABBAR), the son of a powerful politician Chaudhari Devi (SHABANA AZMI). This alliance which is far from just being a simple union of two young people becomes the seed for a story that brings twists and turns in the lives of Matru, Bijlee and Mandola. (c) Fox International",NR,Comedy|Romance,Vishal Bhardwaj,Vishal Bhardwaj|Abhishek Chaubey,2013-01-11,2013-02-25,147,Comedy,Romance
1510,1944,"In the 3D action-comedy The Green Hornet, Britt Reid (Seth Rogen) is the son of LA's most prominent and respected media magnate and perfectly happy to maintain a directionless existence on the party scene - until his father (Tom Wilkinson) mysteriously dies, leaving Britt his vast media empire. Striking an unlikely friendship with one of his father's more industrious and inventive employees, Kato (Jay Chou), they see their chance to do something meaningful for the first time in their lives: fight crime. To get close to the criminals, they come up with the perfect cover: they'll pose as criminals themselves. Protecting the law by breaking it, Britt becomes the vigilante The Green Hornet as he and Kato hit the streets. Using all his ingenuity and skill, Kato builds the ultimate in advanced retro weaponry, Black Beauty, an indestructible car equal parts firepower and horsepower. Rolling in a mobile fortress on wheels and striking the bad guys with Kato's clever gadgets, The Green Hornet and Kato quickly start making a name for themselves, and with the help of Britt's new secretary, Lenore Case (Cameron Diaz), they begin hunting down the man who controls LA's gritty underworld: Benjamin Chudnofsky (Christoph Waltz). But Chudnofsky has plans of his own: to swat down The Green Hornet once and for all. -- (C) Sony",PG-13,Action and Adventure|Comedy|Science Fiction and Fantasy,Michel Gondry,Evan Goldberg|Seth Rogen,2011-01-14,2011-05-03,119,Action and Adventure,Comedy|Science Fiction and Fantasy
1511,1945,"Left on a nun's doorstep, Larry, Curly and Moe grow up finger-poking, nyuk-nyuking and woo-woo-wooing their way to uncharted levels of knuckleheaded misadventure. Out to save their childhood home, only The Three Stooges could become embroiled in an oddball murder plot...while also stumbling into starring in a phenomenally successful TV reality show. -- (C) 20th Century Fox",PG,Comedy,Bobby Farrelly|Peter Farrelly,Bobby Farrelly|Peter Farrelly|Mike Cerrone,2012-04-13,2012-07-17,92,Comedy,
1512,1946,"Alex Browning, is embarking on a trip to Paris with his high school French class. In the plane's cabin, buckled-in and ready for take-off, Alex experiences a powerful premonition. He sees the plane explode in a fiery blaze moments after leaving the ground. Alex panics and insists that everyone get off the plane. In the melee than ensues, seven people including Alex, are forced to disembark the ill-fated aircraft. Back in the departure lounge, Alex and his friends Billy and Tod; Clear a young woman who instinctively heeded Alex's warning; Carter, whose derision of Alex's paranoia had him and his girlfriend Terry thrown off the plane; and Ms. Lewton, the teacher who volunteers to stay with the disembarking students, all watch as Alex's horrific premonition proves tragically accurate when the plane explodes in a catastrophic fireball. Ironically, even though Alex's intuition saves lives, after the crash he is plagued by both guilt and suspicion. Ominous portents of doom as well as the FBI, dog his every step. Alex comes to believe that somehow, he and the other survivors have briefly cheated death, but will not be able to evade their fate for very long. Clear befriends Alex, but no one, not even she, really believes his macabre theory -- not even as one by one, these fugitives from fate fall victim to the grim reaper.",R,Horror|Mystery and Suspense,James Wong,James Wong|Jeffrey Reddick|Glen Morgan,2000-03-17,2000-09-26,98,Horror,Mystery and Suspense
1513,1947,"Set in the 1930s, an uncharismatic chess grandmaster travels to Italy to play the match of his life and meets a beautiful young woman who is vacationing with her mother at a nearby resort.",PG-13,Art House and International|Drama,Marleen Gorris,Peter Berry,2001-04-20,2001-09-18,108,Art House and International,Drama
1514,1949,"A sweet, innocent and none-too-educated Southern girl (Dolly Parton) gets a job as a receptionist at a Chicago radio station and through a series of mix-ups ends up on the air as the station's new on-air psychologist. Fortunately, what she lacks in schooling, she makes up for in common sense and soon becomes a national sensation. Trouble comes when jealous rivals begin questioning her credentials.",PG,Comedy|Romance,Barnet Kellman,Craig Bolotin|Patricia Resnick|Susan Berman,1992-04-03,2003-05-06,91,Comedy,Romance
1515,1950,"Not to be confused with the 1960 film of the same name, this fast-paced karate action flick stars Chuck Norris, still riding high on his karate film successes of the early '80s, and several years away from starting his popular Walker: Texas Ranger TV series. In this story he plays Eddie Cusak, a painfully honest police sergeant who just misses pulling off a drug bust -- it seems another gang got there before him, wiped out the competition, and made off with a fortune in white powder. A bad move -- this means nothing less than all-out war between the two rival gangs, with the police caught in the middle. Cusak has other problems as well, one of his team killed an innocent bystander during the raid and he is duty-bound to squelch any cover-up. With enemies on both sides of the law, he then has to take on the drug cartel with nothing more than cannons, machine guns, shotguns, pistols, a robot car, and other sundry artillery to help him out.",R,Action and Adventure|Drama,Andrew Davis,Dennis Shryack|Patrick Sheane Duncan|Michael Butler|Mike Gray,1985-05-03,2000-11-21,100,Action and Adventure,Drama
1516,1951,"An actress who once knew the heights of fame is forced to confronts the depths of defeat in this show business drama. Margaret Elliot (Bette Davis) was once one of Hollywood's great stars, but as she edges into her 50's, both her career and her life have reached an unfortunate crossroads. Margaret hasn't worked for several years, her marriage has fallen apart, her former husband has custody of her daughter Gretchen (Natalie Wood), and she's running short of money. Margaret's agent Harry Stone (Warner Anderson) can't get her a part, and isn't willing to lend her the money to pay her bills. When they learn that Margaret is all but penniless, her sister (Fay Baker) and brother-in-law (David Alpert) turn their back on her, and Margaret's landlady (Katherine Warren) is threatening to evict her. Depressed and desperate, Margaret goes on a drinking binge, and ends up in jail on a drunk driving charge. No one comes to her aid but Jim Johannson (Sterling Hayden), an former actor who worked with Margaret years ago and has long been in love with her. Jim urges Margaret to leave Hollywood behind, and offers to care for her if she'll have him, but when Margaret's pleas to Harry finally result in an audition with producer Joe Morrison (Minor Watson), she holds on to the desperate hope she may have one more chance at regaining her stardom. Bette Davis's performance in The Star earned her an Academy Award nomination for Best Actress, but she lost to Shirley Booth for Come Back, Little Sheba -- a role that had been first offered to Davis.",NR,Classics|Drama,Stuart Heisler,Dale Eunson|Katherine Albert,1952-12-11,2005-06-14,91,Classics,Drama
1518,1953,A glimpse into the comedic process and private dramas of legendary comedian and pop icon Joan Rivers as she fights tooth and nail to keep her American dream alive.,R,Comedy|Documentary|Television,Ricki Stern|Anne Sundberg,Ricki Stern,2010-06-11,2010-12-14,84,Comedy,Documentary|Television
1519,1955,"The brief, illicit love affair between an Iowa housewife and a post-middle-age free-lance photographer is chronicled in this powerful romance based on the best-selling novella by Robert James Waller. The story begins as globetrotting National Geographic photographer Robert Kincaid journeys to Madison County in 1965 to film its lovely covered bridges. Upon his arrival, he stops by an old farmhouse to ask directions. There he encounters housewife, Francesca Johnson, whose spouse and two children are out of town. Thus begins their four-day affair, a liaison that fundamentally changes them both. Later Francesca chronicles the affair in a diary which her flabbergasted grown children read; never would they have expected their mother to be capable of the passion she experienced with Kincaid.",PG-13,Drama|Romance,Clint Eastwood,Richard LaGravenese|Richard La Gravenese,1995-06-02,1997-09-25,135,Drama,Romance
1520,1956,"This entry in Hammer Studios' Frankenstein series is a black comic tale of Count Frankenstein's son Victor Jr. (Ralph Bates), who slays his father to gain control of their ancestral castle and to romance the housekeeper (Kate O'Mara).",R,Art House and International|Comedy|Horror,Jimmy Sangster,Jimmy Sangster|Jeremy Burnham,1971-06-17,2001-08-07,93,Art House and International,Comedy|Horror
1523,1959,"This provocative British comedy-drama provides an unsentimental chronicle of a vibrant young man who discovers that he is suffering from multiple sclerosis, and of the woman who loves and supports him. The afflicted man is Nick who loves life and spends his free time playing soccer and hanging out with his pals. One day he meets Karen and they end up moving in together. Their happiness is interrupted by a series of puzzling symptoms that begin to plague Nick. Karen, who has had more education, begins to fear that he has MS, but she says nothing to him. He goes in for rigorous medical tests and Karen's private diagnosis is confirmed. The disease gradually destroys the central nervous system and soon Nick is unable to pursue the things he most enjoys. He begins to retreat into himself and become increasingly bitter and irritable. Despite his anger and pain, Karen stays beside him. At one point, after he is no longer able to have sex, he accuses her of sleeping with her boss. But still the loyal Karen remains until the story's surprising conclusion.",R,Drama,Michael Winterbottom,Paul Powell,1998-06-01,1999-06-08,90,Drama,
1524,1960,"SELMA is the story of a movement. The film chronicles the tumultuous three-month period in 1965, when Dr. Martin Luther King, Jr. led a dangerous campaign to secure equal voting rights in the face of violent opposition. The epic march from Selma to Montgomery culminated in President Johnson (Tom Wilkinson) signing the Voting Rights Act of 1965, one of the most significant victories for the civil rights movement. Director Ava DuVernays SELMA tells the real story of how the revered leader and visionary Dr. Martin Luther King Jr. (David Oyelowo) and his brothers and sisters in the movement prompted change that forever altered history.(C) Paramount",PG-13,Drama,Ava DuVernay,Paul Webb,2015-01-09,2015-05-05,127,Drama,
1526,1962,"Ridley Scott directs the crime comedy Matchstick Men, based on the novel of the same name by Eric Garcia. Neurotic con man Roy (Nicolas Cage) suffers from several emotional problems, including obsessive-compulsive disorder. He and his partner Frank (Sam Rockwell) swindle people out of money by posing as money collectors who promise things like tax refunds, package vacations, and other fabulous prizes (which they never get). Frank wants to pull a really big job, but Roy is too consumed with fear and panic attacks to join him. Only cigarettes and his trusty illegal prescription drugs seem to keep him going. When Roy finds himself in desperate need of more pills, he is forced to see legitimate psychotherapist Dr. Klein (Bruce Altman). Roy ends up talking about his emotional damage from a troubled marriage and divorce, which results in the discovery of a child whom he has never met. Dr. Klein suggests that he spend a weekend with the kid, so in walks teenaged Angela (played by twentysomething Alison Lohman). Reluctant to develop his role as a father, Roy also gets heavily involved in Frank's ambitious swindle.",PG-13,Comedy|Drama,Ridley Scott,Nicholas Griffin|Ted Griffin,2003-09-12,2004-06-01,116,Comedy,Drama
1528,1965,"Because of a misunderstanding on his part, Clifford the Dog thinks his huge appetite threatens his owners' financial well-being--so Clifford and his three canine pals join a traveling carnival. Their goal is to enter a contest that will guarantee Clifford a lifetime supply of his favorite doggy snacks.",G,Animation|Kids and Family,Robert Ramirez,Robert Ramirez|Rhett Reese,2004-04-23,2004-08-24,73,Animation,Kids and Family
1529,1966,"Two rabid Boston B-ball fans go over the edge and kidnap the star player of the Utah Jazz during the NBA playoffs in this goofy sports comedy starring veteran comic actors Dan Aykroyd, Damon Wayans and Daniel Stern. Aykroyd and Stern play the dim-bulbed fans, high school gym teacher Mike O'Hara, whose passion for basketball is destroying his marriage and Jimmy Flaherty, the owner of a plumbing business. Tired of watching the Celtics lose to the Utah Jazz during the playoffs, they go into an upscale bar one night and see Utah's superstar player/tv commercial pitchman Lewis Scott (Wayans). Scott is a class A arrogant hot dogger with a bad attitude (deep down he cares more for money than the sport that made him rich), making him a favorite with fans. Inspiration strikes Flaherty and O'Hara who proceed to cozy up to Scott and get him blind drunk. They too get ripped and the next morning the hung-over duo awaken to a surprise. There in Flaherty's living room sits a bound, gagged and angry Scott, whom they apparently kidnapped the night before. They decide to help their team and not let him go. So begins the bulk of the movie, a verbal, slapstick cat and mouse game between the basketball player and his two bumbling captors.",PG-13,Comedy,Tom DeCerchio|Tom De Cerchio,Judd Apatow|Colin Quinn,1996-04-19,2002-09-03,90,Comedy,
